year,state,residential,commercial,industrial,total
1999,RI,10.12,7.73,7.31,8.62
1999,SC,7.55,6.3,3.72,5.57
1999,SD,7.42,6.7,4.55,6.35
1999,TN,6.34,6.29,4.19,5.63
1999,TX,7.55,6.52,3.97,6.04
1999,US,8.16,7.26,4.43,6.64
1999,UT,6.27,5.29,3.36,4.86
1999,VA,7.48,5.55,3.84,5.86
1999,VT,12.17,10.67,7.35,10.28
1999,WA,5.1,4.86,2.65,4.01
1999,WI,7.31,5.88,3.89,5.53
1999,WV,6.27,5.53,3.8,5.09
1999,WY,6.34,5.28,3.34,4.3
2000,AK,11.45,9.77,7.56,10.08
2000,AL,7.05,6.58,3.87,5.61
2000,AR,7.45,5.93,4.2,5.77
2000,AZ,8.44,7.34,5.27,7.25
2000,CA,10.89,10.25,7.14,9.47
2000,CO,7.31,5.55,4.25,5.88
2000,CT,10.86,9.27,7.32,9.52
2000,DC,8.03,7.55,4.74,7.52
2000,DE,8.54,5.89,3.73,6.08
2000,FL,7.77,6.25,4.84,6.91
2000,GA,7.6,6.5,4.1,6.21
2000,HI,16.41,14.81,11.69,14.03
2000,IA,8.37,6.57,3.89,5.93
2000,ID,5.39,4.24,3.11,4.17
2000,IL,8.83,7.31,4.99,6.94
2000,IN,6.87,5.93,3.81,5.18
2000,KS,7.65,6.25,4.55,6.27
2000,KY,5.47,5.14,3.01,4.18
2000,LA,7.67,7.18,5,6.48
2000,MA,10.53,9.13,8.2,9.49
2000,MD,7.95,6.55,4.14,6.74
2000,ME,12.49,10.23,6.89,9.69
2000,MI,8.52,7.9,5.09,7.11
2000,MN,7.52,6.36,4.57,5.87
2000,MO,7.04,5.83,4.43,6.02
2000,MS,6.93,6.41,4.14,5.85
2000,MT,6.49,5.6,3.97,5
2000,NC,7.97,6.36,4.58,6.48
2000,ND,6.44,6.08,3.98,5.44
2000,NE,6.53,5.42,3.61,5.31
2000,NH,13.15,10.81,9.17,11.25
2000,NJ,10.27,9.14,8.58,9.47
2000,NM,8.36,7.06,4.69,6.58
2000,NV,7.28,6.74,4.98,6.17
2000,NY,13.97,12.65,5.37,11.38
2000,OH,8.61,7.61,4.37,6.41
2000,OK,7.03,6.14,4.09,5.88
2000,OR,5.88,5.06,3.56,4.89
2000,PA,9.53,7.71,5.63,7.65
2000,RI,11.28,9.5,8.76,10.18
2000,SC,7.58,6.35,3.74,5.62
2000,SD,7.42,6.64,4.49,6.32
2000,TN,6.33,6.28,4.09,5.58
2000,TX,7.96,6.88,4.42,6.49
2000,US,8.24,7.43,4.64,6.81
2000,UT,6.29,5.23,3.35,4.84
2000,VA,7.52,5.65,3.9,5.94
2000,VT,12.3,10.61,7.31,10.27
2000,WA,5.13,4.86,3.3,4.33
2000,WI,7.53,6.03,4.04,5.71
2000,WV,6.27,5.46,3.76,5.07
2000,WY,6.5,5.29,3.36,4.34
2001,AK,12.12,10.29,7.61,10.54
2001,AL,7.01,6.53,3.79,5.6
2001,AR,7.72,6.19,4.43,6.05
2001,AZ,8.3,7.37,5.24,7.27
2001,CA,12.09,12.15,9.23,11.22
