year,state,source,generation
1991,KY,Hydro,3657801
1991,KY,Natural Gas,21871
1991,KY,Petroleum,111558
1991,LA,Total,74972693
1991,LA,Coal,18968479
1991,LA,Hydro,656492
1991,LA,Natural Gas,36363381
1991,LA,Nuclear,13956196
1991,LA,Petroleum,55760
1991,MA,Total,41019791
1991,MA,Coal,11985593
1991,MA,Hydro,1114929
1991,MA,Natural Gas,6329862
1991,MA,Nuclear,4416611
1991,MA,Petroleum,16159825
1991,MD,Total,39850884
1991,MD,Coal,22835671
1991,MD,Hydro,1407287
1991,MD,Natural Gas,1517463
1991,MD,Nuclear,9036100
1991,MD,Petroleum,4078506
1991,ME,Total,17344783
1991,ME,Coal,857960
1991,ME,Hydro,3817231
1991,ME,Natural Gas,49101
1991,ME,Nuclear,6264366
1991,ME,Petroleum,2152209
1991,MI,Total,105978124
1991,MI,Coal,66878223
1991,MI,Hydro,1751668
1991,MI,Natural Gas,8499078
1991,MI,Nuclear,27021214
1991,MI,Petroleum,658567
1991,MN,Total,42132110
1991,MN,Coal,26783813
1991,MN,Hydro,1037092
1991,MN,Natural Gas,803940
1991,MN,Nuclear,12059055
1991,MN,Petroleum,583697
1991,MN,Wind,237
1991,MO,Total,60474726
1991,MO,Coal,48211692
1991,MO,Hydro,1119389
1991,MO,Natural Gas,1093001
1991,MO,Nuclear,9979371
1991,MO,Petroleum,119145
1991,MS,Total,25876616
1991,MS,Coal,8790265
1991,MS,Natural Gas,5718936
1991,MS,Nuclear,9132933
1991,MS,Petroleum,396188
1991,MT,Total,28553148
1991,MT,Coal,16432520
1991,MT,Hydro,11970007
1991,MT,Natural Gas,32344
1991,MT,Petroleum,19654
1991,MT,Wind,0
1991,NC,Total,89375284
1991,NC,Coal,50767188
1991,NC,Hydro,5850120
1991,NC,Natural Gas,385907
1991,NC,Nuclear,30312425
1991,NC,Petroleum,275785
1991,ND,Total,27679148
1991,ND,Coal,25828747
1991,ND,Hydro,1756684
1991,ND,Natural Gas,940
1991,ND,Petroleum,52646
1991,NE,Total,23000347
1991,NE,Coal,13591228
1991,NE,Hydro,1044671
1991,NE,Natural Gas,303327
1991,NE,Nuclear,8047662
1991,NE,Petroleum,13459
1991,NH,Total,14221341
1991,NH,Coal,3168054
1991,NH,Hydro,1585286
1991,NH,Natural Gas,-1
1991,NH,Nuclear,6787851
1991,NH,Petroleum,1592175
1991,NJ,Total,43526466
1991,NJ,Coal,5237132
1991,NJ,Hydro,21598
1991,NJ,Natural Gas,10592907
1991,NJ,Nuclear,24806606
1991,NJ,Petroleum,2151098
1991,NM,Total,25277222
1991,NM,Coal,22129312
1991,NM,Hydro,237108
1991,NM,Natural Gas,2863662
1991,NM,Petroleum,33012
1991,NV,Total,22065204
1991,NV,Coal,16365730
1991,NV,Hydro,2365050
1991,NV,Natural Gas,2094971
1991,NV,Petroleum,242477
1991,NY,Total,134600499
1991,NY,Coal,26659951
1991,NY,Hydro,27172120
1991,NY,Natural Gas,23074027
1991,NY,Nuclear,28448293
1991,NY,Petroleum,28220555
1991,OH,Total,134036497
1991,OH,Coal,117502355
1991,OH,Hydro,154224
1991,OH,Natural Gas,364566
1991,OH,Nuclear,14832789
1991,OH,Petroleum,427742
1991,OK,Total,49099117
1991,OK,Coal,28404639
1991,OK,Hydro,1922137
1991,OK,Natural Gas,18416871
1991,OK,Petroleum,46069
1991,OR,Total,47444889
1991,OR,Coal,2814199
1991,OR,Hydro,41088337
1991,OR,Natural Gas,1223154
1991,OR,Nuclear,1465368
1991,OR,Petroleum,11000
1991,OR,Wind,539
1991,PA,Total,172762709
1991,PA,Coal,106028875
1991,PA,Hydro,1920358
1991,PA,Natural Gas,2108889
1991,PA,Nuclear,57475671
1991,PA,Petroleum,4125862
1991,RI,Total,2925819
1991,RI,Coal,0
1991,RI,Hydro,9946
1991,RI,Natural Gas,2749067
1991,RI,Petroleum,94651
1991,SC,Total,72180007
1991,SC,Coal,23821335
1991,SC,Hydro,3111318
1991,SC,Natural Gas,1081636
1991,SC,Nuclear,43108073
1991,SC,Petroleum,180889
1991,SD,Total,6572666
1991,SD,Coal,2727087
1991,SD,Hydro,3828116
1991,SD,Natural Gas,9036
1991,SD,Petroleum,8427
1991,TN,Total,76192806
1991,TN,Coal,48236733
1991,TN,Hydro,10872944
1991,TN,Natural Gas,197260
1991,TN,Nuclear,16586744
1991,TN,Petroleum,172265
1991,TX,Total,286328708
1991,TX,Coal,120845051
1991,TX,Hydro,2224581
1991,TX,Natural Gas,136442893
1991,TX,Nuclear,19799867
1991,TX,Petroleum,1492995
1991,TX,Solar,371
1991,UT,Total,30505906
1991,UT,Coal,28887600
1991,UT,Hydro,626965
1991,UT,Natural Gas,549984
1991,UT,Petroleum,51314
1991,VA,Total,54729094
1991,VA,Coal,24821391
1991,VA,Hydro,1080055
1991,VA,Natural Gas,1730887
1991,VA,Nuclear,23886268
1991,VA,Petroleum,2353996
1991,VA,Solar,33
1991,VT,Total,5387985
1991,VT,Hydro,1052719
1991,VT,Natural Gas,95341
1991,VT,Nuclear,4108314
1991,VT,Petroleum,5244
1991,VT,Wind,0
1991,WA,Total,102870562
1991,WA,Coal,7944779
1991,WA,Hydro,89342397
1991,WA,Natural Gas,460424
1991,WA,Nuclear,4229868
1991,WA,Petroleum,31164
1991,WI,Total,49356737
1991,WI,Coal,34487009
1991,WI,Hydro,2516633
1991,WI,Natural Gas,381590
1991,WI,Nuclear,10991419
1991,WI,Petroleum,164243
1991,WI,Wind,6
1991,WV,Total,73423735
1991,WV,Coal,71867808
1991,WV,Hydro,1065385
1991,WV,Natural Gas,58808
1991,WV,Petroleum,253047
1991,WY,Total,39298388
1991,WY,Coal,38081345
1991,WY,Hydro,735932
1991,WY,Natural Gas,321763
1991,WY,Petroleum,61417
1992,AK,Total,5298424
1992,AK,Coal,495795
1992,AK,Hydro,918120
1992,AK,Natural Gas,3214330
1992,AK,Petroleum,521950
1992,AK,Wind,0
